Trial-ID,Status,Iteration,batch_size,num_layers,num_units,Objective,loss
8,INTERMEDIATE,6,8192,14,242,349.8821349267982,352.2794220430945
10,INTERMEDIATE,2,8192,14,241,368.54193540893266,374.6049030123989
6,INTERMEDIATE,8,2048,11,198,348.3517465140521,346.823691719185
9,INTERMEDIATE,4,8192,12,198,355.8107643578351,361.7779236842935
8,INTERMEDIATE,7,8192,14,242,351.7544533298934,350.1716269237167
10,INTERMEDIATE,3,8192,14,241,367.780295063136,364.66268142027536
9,INTERMEDIATE,5,8192,12,198,353.70296988701426,357.77729565472174
8,INTERMEDIATE,8,8192,14,242,344.89138727210656,348.4314473647068
9,INTERMEDIATE,6,8192,12,198,348.8064525414866,354.38264939735217
10,INTERMEDIATE,4,8192,14,241,359.99919279923677,359.22360637809356
6,INTERMEDIATE,9,2048,11,198,350.274861263327,345.5564585004955
6,COMPLETED,9,2048,11,198,347.72064629965075,351.6742511138562
8,INTERMEDIATE,9,8192,14,242,345.66114321949914,346.9920223262636
8,COMPLETED,9,8192,14,242,344.89138727210656,348.4314473647068
9,INTERMEDIATE,7,8192,12,198,346.82112217174915,352.1432604159114
10,INTERMEDIATE,5,8192,14,241,350.40347228715325,355.24071438959743
11,INTERMEDIATE,0,8192,15,240,438.3197064050264,575.8806649582016
9,INTERMEDIATE,8,8192,12,198,351.94405296451936,350.11535290499023
10,INTERMEDIATE,6,8192,14,241,347.28370392350723,352.35409024881005
12,INTERMEDIATE,0,4096,10,199,387.39267461970627,453.86163602092887
11,INTERMEDIATE,1,8192,15,240,392.5294845797491,414.35120644978747
9,INTERMEDIATE,9,8192,12,198,344.23275334784324,348.67064666748047
9,COMPLETED,9,8192,12,198,344.23275334784324,348.67064666748047
10,INTERMEDIATE,7,8192,14,241,352.54633049931084,350.31920252045455
12,INTERMEDIATE,1,4096,10,199,369.77658770946744,379.08824566917093
11,INTERMEDIATE,2,8192,15,240,373.28564036484306,383.55789267767886
10,INTERMEDIATE,8,8192,14,241,344.75935150940086,348.4782450676702
13,INTERMEDIATE,0,4096,12,198,386.01381782549777,455.4628916487432
11,INTERMEDIATE,3,8192,15,240,360.76736120129306,369.1529954820295
12,INTERMEDIATE,2,4096,10,199,357.46194506255165,365.55551286713614
10,INTERMEDIATE,9,8192,14,241,342.8419700424158,346.9252809434553
10,COMPLETED,9,8192,14,241,342.8419700424158,346.9252809434553
13,INTERMEDIATE,1,4096,12,198,364.9384767654094,378.85711689688674
11,INTERMEDIATE,4,8192,15,240,361.40564897325305,361.55240558526907
12,INTERMEDIATE,3,4096,10,199,353.6383419487775,359.58941463638627
14,INTERMEDIATE,0,8192,14,241,401.3069938136613,515.9438381799873
11,INTERMEDIATE,5,8192,15,240,352.13939071547054,356.99267811786274
14,INTERMEDIATE,1,8192,14,241,378.8953246709585,393.44168508578343
13,INTERMEDIATE,2,4096,12,198,358.6976163381662,365.9100541382544
12,INTERMEDIATE,4,4096,10,199,350.9633678273952,355.2682971467551
11,INTERMEDIATE,6,8192,15,240,350.83293245644717,353.54763038086503
14,INTERMEDIATE,2,8192,14,241,370.27191367724265,373.601105273277
13,INTERMEDIATE,3,4096,12,198,356.75555129986844,359.68488272529004
12,INTERMEDIATE,5,4096,10,199,348.9406294089964,352.384043452358
11,INTERMEDIATE,7,8192,15,240,347.6493380030278,351.1713747878639
14,INTERMEDIATE,3,8192,14,241,360.6339777412144,364.58651216511385
11,INTERMEDIATE,8,8192,15,240,350.6735942290466,349.4323004997708
12,INTERMEDIATE,6,4096,10,199,346.3692375886525,350.25408274686714
13,INTERMEDIATE,4,4096,12,198,352.2426208018129,355.7016395869775
14,INTERMEDIATE,4,8192,14,241,361.0613036099337,359.10643811974523
11,INTERMEDIATE,9,8192,15,240,345.500563096211,347.89432250669734
11,COMPLETED,9,8192,15,240,345.500563096211,347.89432250669734
14,INTERMEDIATE,5,8192,14,241,352.06147641662164,354.82641810441515
12,INTERMEDIATE,7,4096,10,199,344.79026253792694,348.51896586348084
13,INTERMEDIATE,5,4096,12,198,349.19556050943146,352.9436748944229
15,INTERMEDIATE,0,8192,14,241,411.1461782793627,511.2123075811234
14,INTERMEDIATE,6,8192,14,241,351.6071423108978,352.3058749890014
12,INTERMEDIATE,8,4096,10,199,348.2909664803363,347.0452310837984
15,INTERMEDIATE,1,8192,14,241,375.18903621375983,391.9389682660615
14,INTERMEDIATE,7,8192,14,241,348.44062958485125,350.0404802456625
13,INTERMEDIATE,6,4096,12,198,350.0212230186372,350.8291272003339
15,INTERMEDIATE,2,8192,14,241,363.4415762971197,373.08410220872685
12,INTERMEDIATE,9,4096,10,199,350.1086261514794,345.71507578272275
14,INTERMEDIATE,8,8192,14,241,344.9526412819576,348.2761737324891
12,COMPLETED,9,4096,10,199,344.79026253792694,348.51896586348084
13,INTERMEDIATE,7,4096,12,198,345.5439167293251,349.16903200614206
15,INTERMEDIATE,3,8192,14,241,355.0148487496883,363.96458771979263
14,INTERMEDIATE,9,8192,14,241,346.38920513901587,346.79833774315875
14,COMPLETED,9,8192,14,241,344.9526412819576,348.2761737324891
16,INTERMEDIATE,0,8192,14,241,408.4506330377385,503.35045668033325
15,INTERMEDIATE,4,8192,14,241,354.43779981897234,358.6716652241033
13,INTERMEDIATE,8,4096,12,198,342.9881137054299,347.77193604931756
16,INTERMEDIATE,1,8192,14,241,374.4596075504384,392.6663592486813
17,INTERMEDIATE,0,4096,6,256,383.3527860213115,450.89577332487056
15,INTERMEDIATE,5,8192,14,241,352.1631456920723,354.9936165038874
16,INTERMEDIATE,2,8192,14,241,373.8293699801109,374.0104234758865
17,INTERMEDIATE,1,4096,6,256,368.6700484724473,377.9450069760871
13,INTERMEDIATE,9,4096,12,198,343.2661556622661,346.48312955592274
13,COMPLETED,9,4096,12,198,342.9881137054299,347.77193604931756
15,INTERMEDIATE,6,8192,14,241,349.1331876930616,352.1521370010789
16,INTERMEDIATE,3,8192,14,241,358.7090706971802,364.67321981502334
17,INTERMEDIATE,2,4096,6,256,361.5931159801799,363.94059375193535
18,INTERMEDIATE,0,8192,13,241,399.00812701863316,502.170449229607
15,INTERMEDIATE,7,8192,14,241,347.13978371045266,350.1087083632137
16,INTERMEDIATE,4,8192,14,241,352.33827754171745,358.94084358657875
17,INTERMEDIATE,3,4096,6,256,351.10081314195133,357.23355231170774
18,INTERMEDIATE,1,8192,13,241,377.56396561931496,391.5332861691598
15,INTERMEDIATE,8,8192,14,241,345.35523874990764,348.3900982413473
16,INTERMEDIATE,5,8192,14,241,353.46335572948414,354.86274697406293
17,INTERMEDIATE,4,4096,6,256,348.72562849888,353.2688376359578
18,INTERMEDIATE,2,8192,13,241,363.82986498893575,372.9700343994235
15,INTERMEDIATE,9,8192,14,241,344.4073250051368,346.89257896877683
15,COMPLETED,9,8192,14,241,344.4073250051368,346.89257896877683
16,INTERMEDIATE,6,8192,14,241,347.62572120323813,352.2286440442905
18,INTERMEDIATE,3,8192,13,241,353.7275565036927,364.1724820472617
17,INTERMEDIATE,5,4096,6,256,346.2168600339416,350.42338581188466
16,INTERMEDIATE,7,8192,14,241,348.8946247687013,350.2023005002428
18,INTERMEDIATE,4,8192,13,241,352.97002039338963,358.87902525793373
17,INTERMEDIATE,6,4096,6,256,344.0100592123983,348.23293856143584
19,INTERMEDIATE,0,4096,14,198,387.9560176136928,464.44375005546505
16,INTERMEDIATE,8,8192,14,241,344.64469036706515,348.2086341427171
18,INTERMEDIATE,5,8192,13,241,348.8133293133819,354.6997312411539
17,INTERMEDIATE,7,4096,6,256,353.7076494744484,346.34439706470465
18,INTERMEDIATE,6,8192,13,241,348.05753510387234,351.9033398373774
16,INTERMEDIATE,9,8192,14,241,343.05856101394545,346.9673746319953
16,COMPLETED,9,8192,14,241,343.05856101394545,346.9673746319953
19,INTERMEDIATE,1,4096,14,198,366.328309674635,379.69275477351096
17,INTERMEDIATE,8,4096,6,256,339.74010481958413,344.65662750161533
18,INTERMEDIATE,7,8192,13,241,348.50827055225415,349.8504338983593
20,INTERMEDIATE,0,8192,12,240,398.9694726100768,491.585463356437
17,INTERMEDIATE,9,4096,6,256,342.4464525037905,343.21342482423006
17,COMPLETED,9,4096,6,256,339.74010481958413,344.65662750161533
20,INTERMEDIATE,1,8192,12,240,374.8494157903865,390.61524213420637
18,INTERMEDIATE,8,8192,13,241,342.2168784175359,348.08090709736433
19,INTERMEDIATE,2,4096,14,198,362.26078216516663,366.74716856824455
21,INTERMEDIATE,0,4096,6,256,385.5577181011227,447.02807579719087
20,INTERMEDIATE,2,8192,12,240,359.7301125853338,372.75683800858855
18,INTERMEDIATE,9,8192,13,241,343.48713440590717,346.4447067921602
18,COMPLETED,9,8192,13,241,342.2168784175359,348.08090709736433
21,INTERMEDIATE,1,4096,6,256,363.6260728678241,375.9186767643031
20,INTERMEDIATE,3,8192,12,240,358.5897524497751,363.8084914405864
19,INTERMEDIATE,3,4096,14,198,354.37114424288416,360.42756826897875
22,INTERMEDIATE,0,4096,6,255,391.31859856914406,448.82625297198257
20,INTERMEDIATE,4,8192,12,240,354.24976051276457,358.622332951309
21,INTERMEDIATE,2,4096,6,256,357.60955784394105,363.2149680241631
22,INTERMEDIATE,1,4096,6,255,365.55208818512324,376.9799046704498
20,INTERMEDIATE,5,8192,12,240,349.87372168863357,354.59264833431143
19,INTERMEDIATE,4,4096,14,198,355.24428445622146,356.52304477204854
21,INTERMEDIATE,3,4096,6,256,351.5822853106415,356.719300422757
22,INTERMEDIATE,2,4096,6,255,355.6075976441656,363.6429253539095
20,INTERMEDIATE,6,8192,12,240,347.3837008104257,351.90031221276183
21,INTERMEDIATE,4,4096,6,256,347.048508759086,352.77767233026185
19,INTERMEDIATE,5,4096,14,198,354.9337572318724,353.8263234479982
22,INTERMEDIATE,3,4096,6,255,350.47668469205814,356.87634452294674
20,INTERMEDIATE,7,8192,12,240,344.76556454200835,349.7089695587512
21,INTERMEDIATE,5,4096,6,256,344.6662502198636,349.9956203056507
20,INTERMEDIATE,8,8192,12,240,349.4407113077511,348.0676821349484
22,INTERMEDIATE,4,4096,6,255,348.5886652700726,352.9916961298188
